Année;Trimestre;Dernier jour du trimestre;Masse salariale à T+50 jours (brut);Masse salariale à T+70 jours (brut);Masse salariale à T+50 jours (cvs);Masse salariale à T+70 jours (cvs);Glissement trimestriel - Masse salariale à T+50 jours (cvs);Glissement trimestriel - Masse salariale à T+70 jours (cvs);Glissement annuel - Masse salariale à T+50 jours (cvs);Glissement annuel - Masse salariale à T+70 jours (cvs)
2002;4;2002-12-31;102868074945.0;102868074945.0;97481197988.0;97481178807.0;0.682197601;0.682170669;2.749886011;2.749876383
2003;2;2003-06-30;97944415062.0;97944415062.0;98054884814.0;98054891343.0;0.508187013;0.508175669;1.587056745;1.587057542
2004;1;2004-03-31;97955309753.0;97955309753.0;100226027090.0;100226057866.0;0.904911175;0.904958145;2.733650582;2.733663693
2004;2;2004-06-30;100694140758.0;100694140758.0;100809937574.0;100809937110.0;0.582593665;0.582562316;2.809704755;2.809697436
2004;3;2004-09-30;98548841746.0;98548841746.0;101636142936.0;101636123615.0;0.819567377;0.819548676;2.88130134;2.881284238
2005;1;2005-03-31;101115797711.0;101115797711.0;103116150018.0;103116184152.0;0.623638505;0.623669415;2.883605199;2.883607664
2006;4;2006-12-31;116644778701.0;116644778701.0;110930720442.0;110930781973.0;1.305187523;1.305285826;4.506824956;4.506867447
2007;1;2007-03-31;111037832604.0;111037832604.0;112700713534.0;112700724461.0;1.595584239;1.595537737;4.883438925;4.88341446
2007;4;2007-12-31;121885625419.0;121885625419.0;115992360160.0;115992458658.0;1.314430244;1.314563878;4.562883661;4.562914455
2008;1;2008-03-31;116241911600.0;116241911600.0;117931985854.0;117931978461.0;1.672201247;1.672108536;4.64173842;4.641721714
2008;2;2008-06-30;118117715960.0;118117715960.0;118235016187.0;118234960941.0;0.256953473;0.256912913;4.17742242;4.177411379
2009;2;2009-06-30;116457375410.0;116457375410.0;116369090244.0;116369040382.0;-0.400299819;-0.400326357;-1.57815003;-1.578146214
2009;3;2009-09-30;112340004305.0;112340004305.0;116517281579.0;116517226536.0;0.127345959;0.127341562;-1.855038278;-1.855037438
2010;1;2010-03-31;115665438296.0;115665438296.0;117593679727.0;117593674205.0;0.291803279;0.291719242;0.647819962;0.647831543
2011;3;2011-09-30;119051471165.0;119051471165.0;123502605609.0;123502539618.0;0.43227821;0.432235037;3.486463535;3.486461021
2012;1;2012-03-31;123210734968.0;123210734968.0;125260465705.0;125260497554.0;0.649607536;0.649605647;2.464864127;2.464879864
2012;3;2012-09-30;121528505016.0;121528505016.0;126134476229.0;126134387196.0;0.455726771;0.45565464;2.131024368;2.131006849
2013;1;2013-03-31;124485756547.0;124485756547.0;126479853919.0;126479884396.0;-0.083178321;-0.083184697;0.973482102;0.973480759
2013;3;2013-09-30;123054533226.0;123054533226.0;127754804729.0;127754748446.0;0.380381371;0.380362254;1.284603978;1.28463085
2014;2;2014-06-30;129990899598.0;129990899598.0;129236478505.0;129236497848.0;0.414089276;0.414069355;1.544572252;1.544612847
2014;3;2014-09-30;124907186966.0;124907186966.0;129705584845.0;129705507595.0;0.362982918;0.362908122;1.526972016;1.526956276
2015;2;2015-06-30;132026518133.0;132026518133.0;131181489500.0;131181738974.0;0.47785307;0.477992067;1.505001543;1.505179387
2015;3;2015-09-30;126977025977.0;126977025977.0;131890173082.0;131889916912.0;0.540231388;0.539844908;1.684266903;1.684129963
2015;4;2015-12-31;138609928538.0;138609928538.0;132890434698.0;132890153717.0;0.758404961;0.758387623;2.263637479;2.263478565
2016;2;2016-06-30;135180692929.0;135180692929.0;134264235181.0;134264997410.0;0.363087978;0.363520662;2.34998527;2.350371675
2017;1;2017-03-31;136448542878.0;136448542878.0;137917805382.0;137918193989.0;1.348388721;1.349145944;3.094147272;3.094296943
2017;3;2017-09-30;134721871937.0;134721871937.0;139966456868.0;139965684970.0;0.728755762;0.727437582;3.677384045;3.677309042
2017;4;2017-12-31;147286303371.0;147286303371.0;141470094733.0;141469015388.0;1.074284438;1.074070704;3.9587754;3.958466048
2018;2;2018-06-30;145017688244.0;145017688244.0;143944489607.0;143945060241.0;0.827357911;0.827048123;3.591600883;3.591227191
2018;3;2018-09-30;139316206125.0;139316206125.0;144696184698.0;144695655027.0;0.522211787;0.521445324;3.379186654;3.379378351
2018;4;2018-12-31;152456659566.0;152456659566.0;146574162699.0;146573248247.0;1.297876654;1.297615481;3.607877676;3.60802176
2019;4;2019-12-31;156748204568.0;156748204568.0;151004014483.0;151006275897.0;0.623211047;0.625930349;3.022259655;3.024445254
2021;1;2021-03-31;145861631057.0;145861631057.0;146493932908.0;146494459547.0;0.568136058;0.560908737;0.199481345;0.198514745
2021;3;2021-09-30;150832624245.0;150832624245.0;156737895317.0;156721006862.0;5.015192094;5.007683674;6.880038812;6.873806553
2021;4;2021-12-31;165034566748.0;165034566748.0;159738852173.0;159761534050.0;1.914633886;1.94008911;9.660777755;9.668072738
2022;2;2022-06-30;166864601951.0;166864601951.0;165419365125.0;165414044714.0;1.837775052;1.835922328;10.8318213;10.83227469
2022;3;2022-09-30;161513998888.0;161513998888.0;167886564345.0;167855382415.0;1.491481495;1.475895052;7.112937816;7.104583984
2023;1;2023-03-31;173588760189.0;173588760189.0;173722259787.0;173717365506.0;2.307150878;2.282789504;6.949318784;6.947799815
2024;1;2024-03-31;180536021373.0;180536021373.0;180381730103.0;180380119457.0;1.615321532;1.594238739;3.833400696;3.835398914
2024;3;2024-09-30;175001519728.0;175001519728.0;182222853249.0;182175709563.0;0.517393967;0.490653706;3.162016311;3.15682328
2003;1;2003-03-31;95228712537.0;95228712537.0;97559102127.0;97559119634.0;0.079917092;0.079954744;1.857352242;1.857360705
2003;3;2003-09-30;95818955717.0;95818955717.0;98789713594.0;98789711236.0;0.749405583;0.749396469;2.033681062;2.03367141
