Année;Tour;Parti;Bord;Voix;%_exp
2002;1;LCR;Extrêmegauche;1210562;4,25
2002;1;LCR;Extrêmegauche;28443;3,46
2002;1;LCR;Extrêmegauche;69223;4,64
2002;1;LCR;Extrêmegauche;36260;5,24
2002;1;LCR;Extrêmegauche;36514;4,53
2002;1;LCR;Extrêmegauche;87916;5,54
2002;1;LCR;Extrêmegauche;25676;4,09
2002;1;LCR;Extrêmegauche;26804;4,68
2002;1;LCR;Extrêmegauche;49239;4,12
2002;1;LCR;Extrêmegauche;20131;5,01
2002;1;LCR;Extrêmegauche;50475;4,62
2002;1;LCR;Extrêmegauche;66579;4,8
2002;1;LCR;Extrêmegauche;84422;4,4
2002;1;LCR;Extrêmegauche;34729;4,72
2002;1;LCR;Extrêmegauche;84483;5,05
2002;1;LCR;Extrêmegauche;39995;4,36
2002;1;LCR;Extrêmegauche;43879;5,05
2002;1;LCR;Extrêmegauche;69576;3,26
2002;1;LCR;Extrêmegauche;109242;4,15
2002;1;LCR;Extrêmegauche;138984;3,47
2002;1;LCR;Extrêmegauche;50595;4,14
2002;1;LCR;Extrêmegauche;3000;2,74
2002;1;LCR;Extrêmegauche;509;0,55
2002;1;LCR;Extrêmegauche;421;0,47
2002;1;LCR;Extrêmegauche;290;1,23
2002;1;LCR;Extrêmegauche;4512;1,93
2002;1;LO;Extrêmegauche;1630118;5,72
2002;1;LO;Extrêmegauche;40169;4,89
2002;1;LO;Extrêmegauche;81335;5,46
2002;1;LO;Extrêmegauche;46042;6,65
2002;1;LO;Extrêmegauche;47119;5,85
2002;1;LO;Extrêmegauche;101500;6,4
2002;1;LO;Extrêmegauche;41407;6,6
2002;1;LO;Extrêmegauche;31986;5,59
2002;1;LO;Extrêmegauche;60830;5,09
2002;1;LO;Extrêmegauche;26276;6,54
2002;1;LO;Extrêmegauche;77686;7,11
2002;1;LO;Extrêmegauche;75445;5,44
2002;1;LO;Extrêmegauche;147075;7,66
2002;1;LO;Extrêmegauche;51022;6,94
2002;1;LO;Extrêmegauche;65606;7,57
2002;1;LO;Extrêmegauche;103968;6,21
2002;1;LO;Extrêmegauche;69908;7,62
2002;1;LO;Extrêmegauche;57713;6,65
2002;1;LO;Extrêmegauche;97107;4,55
2002;1;LO;Extrêmegauche;132310;5,03
2002;1;LO;Extrêmegauche;183088;4,57
2002;1;LO;Extrêmegauche;74434;6,09
2002;1;LO;Extrêmegauche;3629;3,32
2002;1;LO;Extrêmegauche;816;0,89
2002;1;LO;Extrêmegauche;1055;1,18
2002;1;LO;Extrêmegauche;310;1,31
2002;1;LO;Extrêmegauche;5966;2,55
2002;1;DL;Droite;1113551;3,91
2002;1;DL;Droite;36264;4,41
2002;1;DL;Droite;41747;2,8
2002;1;DL;Droite;23120;3,34
2002;1;DL;Droite;33138;4,11
2002;1;DL;Droite;70297;4,43
2002;1;DL;Droite;24240;3,86
2002;1;DL;Droite;20654;3,61
2002;1;DL;Droite;38854;3,25
2002;1;DL;Droite;9657;2,4
2002;1;DL;Droite;38098;3,49
2002;1;DL;Droite;42080;3,04
2002;1;DL;Droite;61931;3,23
2002;1;DL;Droite;28526;3,88
2002;1;DL;Droite;29441;3,39
2002;1;DL;Droite;72320;4,32
2002;1;DL;Droite;28952;3,16
2002;1;DL;Droite;31010;3,57
2002;1;DL;Droite;88411;4,14
2002;1;DL;Droite;127758;4,86
2002;1;DL;Droite;200262;5
2002;1;DL;Droite;49237;4,03
2002;1;DL;Droite;2203;2,01
2002;1;DL;Droite;695;0,76
2002;1;DL;Droite;484;0,54
2002;1;DL;Droite;241;1,02
2002;1;DL;Droite;2460;1,05
2002;1;MDC;Gauche;1518568;5,33
2002;1;MDC;Gauche;43169;5,25
2002;1;MDC;Gauche;64958;4,36
2002;1;MDC;Gauche;38972;5,63
2002;1;MDC;Gauche;46053;5,72
2002;1;MDC;Gauche;71378;4,5
2002;1;MDC;Gauche;28708;4,58
2002;1;MDC;Gauche;55910;9,77
2002;1;MDC;Gauche;62129;5,2
2002;1;MDC;Gauche;18835;4,69
2002;1;MDC;Gauche;55412;5,07
2002;1;MDC;Gauche;71668;5,17
2002;1;MDC;Gauche;93799;4,89
2002;1;MDC;Gauche;33474;4,55
2002;1;MDC;Gauche;40544;4,68
2002;1;MDC;Gauche;75757;4,53
2002;1;MDC;Gauche;43206;4,71
2002;1;MDC;Gauche;38411;4,42
2002;1;MDC;Gauche;112380;5,27
2002;1;MDC;Gauche;165393;6,29
2002;1;MDC;Gauche;265658;6,63
2002;1;MDC;Gauche;62483;5,11
2002;1;MDC;Gauche;7700;7,03
2002;1;MDC;Gauche;1302;1,42
2002;1;MDC;Gauche;2022;2,26
2002;1;MDC;Gauche;586;2,48
2002;1;MDC;Gauche;7305;3,13
2002;1;PCF;Gauche;960548;3,37
2002;1;PCF;Gauche;8029;0,98
2002;1;PCF;Gauche;58342;3,91
2002;1;PCF;Gauche;31097;4,49
2002;1;PCF;Gauche;27094;3,36
2002;1;PCF;Gauche;47972;3,03
2002;1;PCF;Gauche;18302;2,92
2002;1;PCF;Gauche;12082;2,11
2002;1;PCF;Gauche;55067;4,6
2002;1;PCF;Gauche;24276;6,04
2002;1;PCF;Gauche;28427;2,6
2002;1;PCF;Gauche;49442;3,57
2002;1;PCF;Gauche;97192;5,06
2002;1;PCF;Gauche;15565;2,12
2002;1;PCF;Gauche;35177;4,06
2002;1;PCF;Gauche;38182;2,28
2002;1;PCF;Gauche;35424;3,86
2002;1;PCF;Gauche;26418;3,04
2002;1;PCF;Gauche;80364;3,77
2002;1;PCF;Gauche;76209;2,9
2002;1;PCF;Gauche;141989;3,55
2002;1;PCF;Gauche;42797;3,5
2002;1;PCF;Gauche;5501;5,03
2002;1;PCF;Gauche;605;0,66
2002;1;PCF;Gauche;429;0,48
2002;1;PCF;Gauche;88;0,37
2002;1;PCF;Gauche;2755;1,18
2002;1;FRS;Droite;339157;1,19
2002;1;FRS;Droite;13496;1,64
2002;1;FRS;Droite;13506;0,91
2002;1;FRS;Droite;8465;1,22
2002;1;FRS;Droite;9392;1,17
2002;1;FRS;Droite;21511;1,36
2002;1;FRS;Droite;6492;1,03
2002;1;FRS;Droite;7630;1,33
2002;1;FRS;Droite;10441;0,87
2002;1;FRS;Droite;3241;0,81
2002;1;FRS;Droite;13076;1,2
2002;1;FRS;Droite;15079;1,09
2002;1;FRS;Droite;18812;0,98
2002;1;FRS;Droite;9102;1,24
2002;1;FRS;Droite;8033;0,93
2002;1;FRS;Droite;32670;1,95
2002;1;FRS;Droite;8848;0,96
2002;1;FRS;Droite;10292;1,19
2002;1;FRS;Droite;18643;0,87
2002;1;FRS;Droite;37427;1,42
2002;1;FRS;Droite;50225;1,25
2002;1;FRS;Droite;15201;1,24
2002;1;FRS;Droite;469;0,43
2002;1;FRS;Droite;485;0,53
2002;1;FRS;Droite;742;0,83
2002;1;FRS;Droite;159;0,67
2002;1;FRS;Droite;2129;0,91
2002;1;PS;Gauche;4610267;16,18
2002;1;PS;Gauche;90494;11,02
2002;1;PS;Gauche;270248;18,13
2002;1;PS;Gauche;108557;15,68
2002;1;PS;Gauche;130481;16,2
2002;1;PS;Gauche;286515;18,07
2002;1;PS;Gauche;88993;14,18
2002;1;PS;Gauche;77388;13,52
2002;1;PS;Gauche;193769;16,2
2002;1;PS;Gauche;73516;18,29
2002;1;PS;Gauche;162932;14,92
2002;1;PS;Gauche;270827;19,53
2002;1;PS;Gauche;327471;17,06
2002;1;PS;Gauche;106853;14,53
2002;1;PS;Gauche;137747;15,88
2002;1;PS;Gauche;270948;16,19
2002;1;PS;Gauche;130520;14,23
2002;1;PS;Gauche;149127;17,17
2002;1;PS;Gauche;277333;12,99
2002;1;PS;Gauche;363472;13,82
2002;1;PS;Gauche;680008;16,98
2002;1;PS;Gauche;184174;15,07
2002;1;PS;Gauche;16836;15,38
2002;1;PS;Gauche;21253;23,12
2002;1;PS;Gauche;26059;29,14
