Année ;Population au 1er janvier;Naissances vivantes;Décès;Solde naturel;Solde migratoire;Ajustement
1995;59 280,6;759,1;540,3;+218,7;+42,2;-54,1
1996;59 487,4;764,0;544,6;+219,4;+38,2;-53,9
1997;59 691,2;757,4;539,3;+218,1;+43,3;-53,2
1998;59 899,3;767,9;543,4;+224,5;+50,2;-51,4
1999;60 122,7;775,8;547,3;+228,5;+62,5;+94,5
2000;60 508,2;807,4;540,6;+266,8;+72;+94,5
2001;60 941,4;803,2;541,0;+262,2;+87;+94,5
2002;61 385,1;792,7;545,2;+247,5;+97;+94,5
2003;61 824,0;793,0;562,5;+230,6;+102;+94,5
2004;62 251,1;799,4;519,5;+279,9;+105,1;+94,5
2005;62 730,5;806,8;538,1;+268,7;+92,2;+94,6
2006;63 186,1;829,4;526,9;+302,4;+112,1;+0,0
2007;63 600,7;818,7;531,2;+287,5;+73,6;+0,0
2008;63 961,9;828,4;542,6;+285,8;+56,8;+0,0
2009;64 304,5;824,6;548,5;+276,1;+32,3;+0,0
2010;64 612,9;832,8;551,2;+281,6;+38,9;+0,0
2011;64 933,4;823,4;545,1;+278,3;+29,5;+0,0
2012;65 241,2;821,0;569,9;+251,2;+72,3;+0,0
2013;65 564,8;811,5;569,2;+242,3;+100,1;+0,0
2014;66 130,9;818,6;559,3;+259,3;+32,3;+0,0
2015;66 422,5;798,9;593,7;+205,3;+40,2;-65,3
2016;66 602,6;783,6;593,9;+189,8;+65,0;-83,0
2017;66 774,5;769,6;606,3;+163,3;+154,7;-100,3
2018;66 992,2;758,6;609,6;+148,9;+200,5;-83,6
2019;67 258,0;753,4;613,2;+140,1;+127,6;-83,9
2020;67 441,9;735,2;668,9;+66,3;+223,0;-34,0
2021;67 697,1;742,1;661,6;+80,5;+183,0;-34,0
2022;67 926,6;726,0;675,1;+50,9;+183,0;-17,0
2023;68 143,4;677,8;639,3;+38,5;+183,0;+0,0
2024;68 373,4;663,00;646,10;+17,0;+152,7;+0,0
