Année;Tour;Inscrits;Absentions;%Abs/Ins;Votants;%Vot/Ins;Blancsetnuls;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp;Parti;Bord;Voix;%_exp
2002;1;41197964;11700076;28.4;29497888;71.6;998401;FN;Extrêmedroite;4804772;16,86;RPR;Droite;5666021;19,88;MNR;Extrêmedroite;667043;2,34;Cap21;Centre;535875;1,88;PT;Extrêmegauche;132696;0,47;UDF;Centre;1949219;6,84;PRG;Gauche;660515;2,32;CPNT;Droite;1204801;4,23;LV;Gauche;1495774;5,25;PS;Gauche;4610267;16,18;FRS;Droite;339157;1,19;PCF;Gauche;960548;3,37;MDC;Gauche;1518568;5,33;DL;Droite;1113551;3,91;LO;Extrêmegauche;1630118;5,72;LCR;Extrêmegauche;1210562;4,25
2002;2;41192272;8359440;20.29;32832832;79.71;1769904;FN;Extrêmedroite;5525034;17,79;RPR;Droite;25537894;82,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;1;44472834;7218592;16.23;37254242;83.77;534846;PS;Gauche;9500112;21,36;UMP;Droite;11448663;25,74;CPNT;Droite;420645;0,95;FN;Extrêmedroite;3834530;8,62;LO;Extrêmegauche;487857;1,1;DVG;Gauche;483008;1,09;LV;Gauche;576666;1,3;MPF;Droite;818407;1,84;LCR;Extrêmegauche;1498581;3,37;PCF;Gauche;707268;1,59;PT;Extrêmegauche;123540;0,28;UDF;Centre;6820119;15,34;;;;;;;;;;;;;;;;
2007;2;44472733;7130729;16.03;37342004;83.97;1568426;PS;Gauche;16790440;46,94;UMP;Droite;18983138;53,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;1;46028542;9444143;19.57;36584399;79.48;701190;PS;Gauche;10272705;28,63;UMP;Droite;9753629;27,18;EELV;Gauche;828345;2,31;FN;Extrêmedroite;6421426;17,9;PG;Gauche;3984822;11,1;NPA;Extrêmegauche;411160;1,15;LO;Extrêmegauche;202548;0,56;SP;Extrêmedroite;89545;0,25;MoDem;Centre;3275122;9,13;DLR;Droite;643907;1,79;;;;;;;;;;;;;;;;;;;;;;;;
2012;2;46066307;9049998;19.65;37016309;80.35;2154956;PS;Gauche;18000668;51,64;UMP;Droite;16860685;48,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;1;47582183;10578455;22.23;37003728;77.77;949334;EM;Centre;8654331;24,01;FN;Extrêmedroite;7678558;21,3;DLF;Droite;1694898;4,7;PS;Gauche;2291025;6,36;LO;Extrêmegauche;232439;0,64;NPA;Extrêmegauche;394510;1,09;SP;Extrêmedroite;65671;0,18;RES;Centre;435367;1,21;LFI;Extrêmegauche;7058859;19,58;UPR;Droite;332592;0,92;LR;Droite;7211121;20;;;;;;;;;;;;;;;;;;;;
2017;2;47568693;12101366;25.44;35467327;74.56;4085724;EM;Centre;20743128;66,1;FN;Extrêmedroite;10638475;33,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;1;48747876;12824169;26.31;35923707;73.69;790760;LREM;Centre;9783058;27,85;RN;Extrêmedroite;8133828;23,15;LFI;Extrêmegauche;7712520;21,95;REC;Extrêmedroite;2485226;7,07;LR;Droite;1679001;4,78;EELV;Gauche;1627853;4,63;RES;Centre;1101387;3,13;PCF;Extrêmegauche;802422;2,28;DLF;Droite;725176;2,06;PS;Gauche;616478;1,75;NPA;Extrêmegauche;268904;0,77;LO;Extrêmegauche;197094;0,56;;;;;;;;;;;;;;;;
2022;2;48752339;13655861;28.01;35096478;71.99;3039153;LREM;Centre;18768639;58,55;RN;Extrêmedroite;13288686;41,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
